"REF_DATE","GEO","DGUID","Building type","Construction type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2017-07","Toronto, Ontario","2016S0503535","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542644","4.2.1","101.8","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","House","New build","Index, 2017=100","373","units ","0","v1073542647","4.2.2","101.0","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","House","Resale","Index, 2017=100","373","units ","0","v1073542650","4.2.3","102.0","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542645","4.3.1","102.3","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542648","4.3.2","100.8","","","","1"
"2017-07","Toronto, Ontario","2016S0503535","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542651","4.3.3","103.2","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","Total, building type","Total, construction type","Index, 2017=100","373","units ","0","v1073542652","5.1.1","100.7","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","Total, building type","New build","Index, 2017=100","373","units ","0","v1073542655","5.1.2","100.2","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542658","5.1.3","101.0","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542653","5.2.1","100.7","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","House","New build","Index, 2017=100","373","units ","0","v1073542656","5.2.2","100.3","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","House","Resale","Index, 2017=100","373","units ","0","v1073542659","5.2.3","101.0","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542654","5.3.1","100.1","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542657","5.3.2","99.5","","","","1"
"2017-07","Calgary, Alberta","2016S0503825","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542660","5.3.3","101.3","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","Total, building type","Total, construction type","Index, 2017=100","373","units ","0","v1073542661","6.1.1","103.1","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","Total, building type","New build","Index, 2017=100","373","units ","0","v1073542664","6.1.2","103.2","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","Total, building type","Resale","Index, 2017=100","373","units ","0","v1073542667","6.1.3","103.1","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","House","Total, construction type","Index, 2017=100","373","units ","0","v1073542662","6.2.1","103.1","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","House","New build","Index, 2017=100","373","units ","0","v1073542665","6.2.2","102.6","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","House","Resale","Index, 2017=100","373","units ","0","v1073542668","6.2.3","103.3","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","Condominium apartment","Total, construction type","Index, 2017=100","373","units ","0","v1073542663","6.3.1","103.3","","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","Condominium apartment","New build","Index, 2017=100","373","units ","0","v1073542666","6.3.2","104.1","E","","","1"
"2017-07","Vancouver, British Columbia","2016S0503933","Condominium apartment","Resale","Index, 2017=100","373","units ","0","v1073542669","6.3.3","102.7","","","","1"
